ISBN,Author,Title,Publisher,PublicationYear,Page,Location,Quantity,Cover,Introduction,AboutAuthor,Date
9787307204904,"[加]萨沙·索科洛夫 ",愚人学校,武汉大学出版社,2018-10-01,592,B-233,3,../BookCover/9787307204904-18-11-17-12-08-58.jpg,"★ 诺贝尔文学奖得主布罗茨基、“当代小说之王”纳博科夫盛赞推荐！<br/>★ 被《华盛顿邮报》誉为二十世纪最杰出的俄国小说。<br/>★ 出版至今达四十年，翻译成二十多国语言并畅销世界各地。<br/>★ 俄国后现代主义文学的经典之作，中文简体版首次推出！<br/>《愚人学校》是俄罗斯早期后现代主义文学 的经典之作，受到“当代小说之王”纳博科夫等多位著名流亡美国的俄裔作家高度推崇。故事的主人公是一位因患有“舞蹈症”而具双重人格的青少年，小说采用意识流手法透过主人公的双重视角来展现他所处的世界——学校、家庭和他所住的别墅区，处处充满压制个人自由，违反自然与人性的威权与教条——隐喻社会乱象，具有强烈的批判性与反叛性。<br/>小说中，真实与幻想混淆难辨，过去、现在与未来互相交错，时空不断移转、故事地点不断跳动，情节彼此穿插，生与死没有界线，叙述常常话中有话，让人费解，再加上作者颠覆各种传统与规则的语言方式，形成一个多层次的迷宫。<br/>【名家评论】<br/>“同样的名字，同样的长相，失序、错乱，充满诗意的愚人世界。风采迷人、充满悲剧又感人肺腑！”<br/>——纳博科夫<br/>“这是一部俄罗斯癫狂者的散文。小说中的每一个独白都打开了一个非同寻常的世界，每个词语都渗透着神秘的气息没有任何人能理解主人公充满隐喻的话语和小说词汇中昏暗的涵义。因为俄罗斯就是这样的，俄罗斯就处于这种昏暗之中。”<br/>——俄罗斯文学批评家，邦达连科<br/>“精神分裂的主人公以丰沛想象力对抗世间一切纷扰、污秽，在他的世界里自由自在；对索科洛夫而言，主人公的精神疾病根本无需治愈，因为我们都该有一方不受拘束的空间喘息，而生命便在想象与文字书写间得到永恒。”<br/>——宋云森<br/>“索科洛夫是那些罕见的小说家之一，他们热衷于对语言的赞美和探索，而不是文学地位。在这一点上，他位于果戈里、莱蒙托夫、纳博科夫之列。”<br/>——戴维·雷姆尼克，《纽约客》杂志主编<br/>就像是乔伊斯在俄国写下了《尤利西斯》的最后一章。<br/>——弗拉基米尔·马尔可夫<br/>苏联时期以来最具独创性且最有才华的作品之一。<br/>——《泰晤士报文学增刊》<br/>《愚人学校》无疑将被公认为俄罗斯散文的伟大经典之一。<br/>——《新闻周刊》 ","[加]萨沙·索科洛夫，旅美俄裔的后现代主义小说家暨诗人，20世纪俄国文学最重要的作家之一。索科洛夫1943年出生于加拿大渥太华，在莫斯科长大并接受教育，曾做过记者、煤矿工人、夜班警卫和实验室助理等。他的代表作包括《愚人学校》《狗与狼之间》《帕利桑利亚（恐天象症）》等。其中，《愚人学校》是俄罗斯早期后现代主义文学的经典之作，受到当代小说之王纳博科夫等多位著名流亡美国的俄裔作家高度推崇，被翻译成英语、德语、荷兰语、瑞典语、法语、西班牙语、保加利亚语、波兰语等二十多种语言。索科洛夫的小说对当代俄罗斯作家产生了巨大影响。<br/>1981年荣获安德烈·博利奖（Andrey Bely Award，俄罗斯历史最悠久的独立文学奖）；1996年荣获普希金国际文学奖（Pushkin International Prize for Literature）。<br/>◎插画作者<br/>[俄]卡琳娜·波波娃，插画家与服装设计师，现为自由创作者，常接受书籍设计与插画的委托。其作品具有印象派风格，曾在莫斯科“现代艺术博物馆”和罗马“狄俄斯库里剧院”展出，藏家遍及全世界。<br/>◎译者简介<br/>宋云森， 1956年生，台北市人，台湾政治大学东语系俄文组，美国堪萨斯大学斯拉夫语文系硕士（专攻俄国文学），俄国莫斯科大学语文系博士（专攻俄语语言学）。现任台湾政治大学斯拉夫语文系教授。译有《当代英雄》（启明，2013）以及《普希金小说集》（启明，2016）。",2018-11-14
9787505737334,刘剑锋,三体世界,中国友谊出版公司,2016-07-01,352,B-222,3,../BookCover/9787505737334.jpg,◆中国科幻文学史上不可忽视的里程碑式著作<br/>◆新锐科幻作家刘剑锋构思十载，历时三年，潜心之作。<br/>◆挑战人类的极致想象力，突破思维的枷锁，描绘宏大的未来世界。<br/>◆囊括关于人类最终的命运的深邃想象。<br/><br/>天体物理学家刘廷，意外地接到了一个精神病院的电话。电话里刘廷完全不认识的一名女医生和一名女患者，却对刘廷的情况一清二楚。<br/>刘廷冒着极大的好奇去寻找事情的真相，却很快发现自己陷入了一个奇怪的谜局：这两名神秘女子来自一个叫作“三体联盟”的组织，在她们的引导下，刘廷发现了两颗以前不为人知的巨大恒星与太阳组成的“三体系统”，它们将很快发生碰撞，导致太阳系毁灭。<br/>刘廷意欲阻止灾难的发生，却意外发现自己竟然是“三体联盟”的创造者，并在数百年前就预言了人类的末日……谜团重重，刘廷会改变这一切，还是走向命运对自己的最终安排？,刘剑锋，作家，编剧。十年前开始从事科幻小说创作。深感国内科幻小说在科幻元素选取上与国际前沿科学成果严重脱节，想象力贫乏，历时三年，创作而成此书。,2018-11-17
9787513331166,"[日]鹫田清一 ",衣的现象学,新星出版社,2018-10-31,249,B-239,4,../BookCover/9787513331166.jpg,衣服，是生活中确定自我的手段——“我”是谁？是男是女？是大人还是孩子？有什么样的性格？从事什么样的职业？有着什么样的爱好？性别、职业、年龄、生活方式……衣服就这样演绎着我们的性别属性及社会属性，逐步地、具体地塑造出每个人的人格。<br/>穿衣服，界定着我们在社会中的位置——有人着装低调朴素，有人偏爱奇装异服；有时我们希望通过衣服让自己备受瞩目，有时却希望隐身于人海之中。对衣服的选择，折射着他人眼中自我的形象，又体现着自我与他人的距离。<br/>某种程度上，衣服就代表着人本身。,"鹫田清一（Washida Kiyokazu），日本哲学家。出生于日本京都府京都市。曾任关西大学文学部教授、大阪大学校长。2015年开始任京都市立艺术大学理事长、校长。著有《古怪的身体》《京都人生》等作品，曾获SANTORY学艺赏、桑原武夫学艺赏、读卖文学赏、紫绶褒章等奖项。他的哲学作品对日本当代设计师影响深远。",2018-11-14
9787519222642,"[美] 高德 ","降维攻击: 未来互联网商业的三体法则",世界图书出版公司,2016-03-31,224,B-222,3,../BookCover/9787519222642.jpg,本书优势：<br/>第一，降维攻击是一个刚开始流行的商业概念，未来随着电影《三体》的上映，这个概念会更加流行，会成为一个全社会的讨论热点。推出这本书，正好借势营销，是一个热点窗口，同时这个概念的商业价值，又符合了时下市场的需求。<br/>第二，这本书的案例和分析，立足于本土，因为降维攻击的思维，很好地表现了国内许多互联网企业崛起的过程，百度，阿里、腾讯、京东等电商的崛起历程都充满了降维的智慧，对于目前的中小企业家来说，有着十分必要的参考价值，如何借鉴这种思维，怎样采取降维的策略？本书提供的分析和策略会有极大的应用市场。<br/>刘慈欣在《三体》中提出了“降维攻击”的概念，后来这一概念演化为一种商业模式和企业的竞争战略——“升维思考，降维攻击”。<br/>这本书的案例和分析，立足于本土，运用降维攻击的思维，很好地表现了国内许多互联网企业崛起的过程，百度，阿里、腾讯、京东等电商的崛起历程都充满了降维的智慧，对于目前的中小企业家来说，有着十分必要的参考价值，如何借鉴这种思维，怎样采取降维的策略？本书提供的分析和策略会有极大的应用市场，符合社会需求。,高德<br/>高德商业咨询公司创始人。有十几年的企业管理、经营和投资咨询工作经验，曾为多个国家的政府部门提供专业的培训服务，很多世界五百强企业的中高层人员都接受过他的指导。作为好莱坞多家制片公司的营销顾问，他参与了一系列作品的IP孵化和跨界推广。著有《降维攻击：未来互联网商业的三体法则》《超级IP：互联网时代的跨界营销》《互联网时代项目管理术》《不会做计划怎么做管理》《管理就是管人》《洗脑术》《信仰》等畅销书籍。,2018-11-17
9787520705677,"托马斯·奥尔德·赫维尔特 ",雷沙革村的读墨人,东方出版社,2018-10-01,276,B-339,3,../BookCover/9787520705677.jpg,"【内容简介】<br/>《雷沙革村的读墨人》是荷兰幻想小说家托马斯·奥尔德·赫维尔特的中短篇小说集，收录多部雨果奖和世界奇幻奖的入围和获奖作品，并增加了 4 篇全新的荷兰语小说。其中《那天，天地翻了个个儿》获第 73 届雨果奖“最佳短中篇”，《雷沙革村的读墨人》同时获雨果奖和世界奇幻奖提名。<br/>幻想大师尼尔·盖曼曾说：“短篇小说是一扇扇通向不同世界、不同心灵和不同梦想的小窗户，是一场场前往宇宙尽头的旅程，却让你能及时赶回家吃晚饭。”这些故事拓展了科幻的外沿，把童话写入现实，既有充满少年气息的冒险，也有承袭自斯蒂芬·金的惊悚。托马斯以喷薄而出的想象力、尼尔·盖曼式的浪漫，再加一点纯真和黑暗，创造出令人着迷的奇想宇宙。<br/>I wish you dark dreams... ——Thomas Olde Heuvelt<br/>【媒体推荐 & 读者评论】<br/>欧洲幻想文学界不可多得的人才之一。——BBC<br/>我读了他的书都不想再写科幻了。——韩松，著名科幻作家<br/>才华横溢的作者，匠心独运的作品。——斯蒂芬·金（《欢迎来到黑泉镇》）<br/>这部原创佳作令人毛骨悚然，但又不忍释卷，是当之无愧的2016年最佳恐怖小说之一。——乔治·R. R. 马丁（《欢迎来到黑泉镇》）<br/>你的冷漠对我来说就是天旋地转。把失恋的感觉写得这么新奇有趣，喜欢作者。有共鸣。——Einheriar（《那天，天地翻了个个儿》）<br/>内容不长，但张力十足。因为有对爱的理解，大环境下的小人物就显得非常饱满。结尾带给人怅惘。和诺兰的《星际穿越》倒有些异曲同工之妙。托马斯真是男神~ ——八打嚎侠（《那天，天地翻了个个儿》）<br/>很有禅意，充满了偶然与因果。最后几段是精髓，诸多业果一气呵成，人们的愿望终究被满足了。新生与死亡被一视同仁，落于尘埃，充满了命运的淡然决绝。——忠犬爱萌兔（《雷沙革村的读墨人》）<br/>很有趣，比起奇幻来更像是寓言，曲折婉转，带着东方宗教特有的神秘因果，是一个需要静下心来看的故事。——火星喵晒太阳（《雷沙革村的读墨人》）<br/>他触摸到了太阳与月亮，永远会闪闪发光。——海多荷（《无影男孩》）<br/>我很喜欢。科幻和童话结合。两个“异类”的情感也是让人动容，看到最后那拼死一搏有一点流泪的冲动。平平淡淡的文笔又有点惊心动魄的味道。<br/>——小灰尘（《无影男孩》）","托马斯·奥尔德·赫维尔特<br/>Thomas Olde Heuvelt<br/>荷兰幻想小说家，生于 1983 年，16 岁出版第一部小说，目前已出版 5 部长篇和多部中短篇小说，作品被翻译成 9 种语言，畅销 26 国。拥有一头驴，害怕鲨鱼，写恐怖小说但并不敢独自看恐怖电影。<br/>2005 年至 2012 年间，托马斯三度获得荷兰历史最悠久的幻想文学奖保罗·哈兰德奖。2013 至 2015 年，他连续三年入围被称为“科幻界最高荣誉”的雨果奖，是首位入围该奖的荷兰作家，最终凭借《那天，天地翻了个个儿》斩获第 73 届雨果奖“最佳短中篇”，与刘慈欣同榜。短篇小说《雷沙革村的读墨人》获奇幻文学界最重要的奖项“世界奇幻奖”提名。长篇小说《欢迎来到黑泉镇》（HEX）获得斯蒂芬·金和乔治·R.R.马丁推荐，华纳兄弟与《小丑回魂》编剧将共同打造美剧。<br/>·<br/>托马斯的风格受这些作家影响：<br/>斯蒂芬·金——现代惊悚小说大师<br/>尼尔·盖曼——幻想小说作家、漫画家，代表作《睡魔》《美国众神》<br/>扬·马特尔——代表作《少年 Pi 的奇幻漂流》<br/>罗尔德·达尔——英国著名儿童文学家",2018-11-14
9787533953768," [塞尔维亚]埃米尔·库斯图里卡",婚姻中的陌生人,浙江文艺出版社,2018-10-10,261,B-330,3,../BookCover/9787533953768.jpg,"两次斩获戛纳金棕榈奖的电影导演 埃米尔•库斯图里卡迄今唯一小说集<br/>作家余华作序推荐：“他的思维不需要签证可以前往任何地方。”<br/>------------------------------------------------------------------------<br/>《婚姻中的陌生人》是两次荣获戛纳金棕榈奖的导演库斯图里卡的小说集。作家余华作序推荐。小说集收入六篇中短篇小说：《多么不幸》《最终，你会亲身感受到的》《奥运冠军》《肚脐，灵魂之门》《在蛇的怀抱里》《婚姻中的陌生人》，这六篇小说聚焦于巴尔干年轻人在动荡的社会中生活和成长的经历，围绕他们的旅行、冒险、家庭、爱情等人生主题展开。库斯图里卡电影中的经典元素都可以在他的小说中找到：蒙太奇式的场景转换、充满灵性会说话的动物、疯狂的冒险经历、随时被战争打断的生活、浪漫热烈的爱情……库斯图里卡的叙述和他的想象一样自由，在一个个关于巴尔干少年成长的故事中，讲述着生命的奇迹。<br/>--------------------------------------------------------------------------<br/>故事梗概：<br/>《多么不幸》：外号叫“小兔子”的男孩泽蔻，有一位总是不会记得他生日的冷漠的父亲，和一心盼着父亲死掉的哥哥。他痛苦生活的唯一慰藉，是到浴室里和鲤鱼说话。一次，因为被狗咬伤被父亲嘲笑为蠢货，泽蔻决定潜入浴缸寻死，然而一直爱慕着泽蔻的女孩米莉迦娜因为神奇的心灵感应在关键时刻救了泽蔻，可是，爱会把命运引向更好的境遇吗？<br/>《最终，你会亲身感受到的》： 13岁的“我”喜欢思考哲学问题，但父母总是对我说：“你还小，不懂。” 在萨拉热窝有史以来最冷的这一年，父母因为天气和工资问题争吵不休，终于，在一次大吵之后，父母相继因重病被送进了医院，“我”的人生也因此遭遇了一连串奇迹般的事件……<br/>《奥运冠军》：南斯拉夫无线电爱好者比赛冠军罗多十分乐于助人，但却对自己的妻子相当刻薄，罗多因为对妻子的一场误会而打伤外国记者、被警察追捕，为了保护罗多，“我”将他藏在了自家的地窖，然而，躲过警察追击的罗多，却因为与人打赌，坐在塑料袋上测试滑雪速度而被全身烧伤……<br/>《肚脐，灵魂之门》：十岁的“我”认为读书是一种酷刑，并对逼迫我读书的母亲提出了一个严肃的问题：人不读书会死吗？为了反抗母亲让我读书的行为，我想了种种办法与她作对，然而一天，姑姑送我的《驴子的岁月》意外地打动了我，这本书打开了我的灵魂之门。后来，我认识了书的作者布兰科•乔皮奇，目睹了他在二战后以跳入萨瓦河的方式结束了自己的生命。<br/>《在蛇的怀抱里》：科斯塔是一名为兵营取牛奶的配送员。他在送奶的路上他常常拿牛奶喂蛇，并爱上了挤奶的年轻女人穆拉达。一天，科斯塔在送奶路上被一条巨蛇救了性命，但他村子里的人却都死了。科斯塔和死里逃生的穆拉达一路奔跑摆脱追杀者，却因为一个地雷，穆拉达在科斯塔面前被炸成了碎片。十年后，科斯塔隐居修道院，一次次背着石头在山上攀爬，又一次次将石头滚下岩壁，对他来说，一切都不会重来，一切也都无法重新开始。<br/>《婚姻中的陌生人》：父亲喜欢讲勇敢的女性的故事，并常常因此热泪盈眶。一次突发奇想的冒险之旅，“我”在火车上遇到了父亲的情妇，并和她发生了关系。“我”和小伙伴因为盗窃被警察追捕，逃亡途中邂逅了一位“婚姻中的外国人”，这位外国人被警察意外撞死并毁尸灭迹，经历这一系列事情之后，我突然觉得自己长大了，也终于明白，父亲才真正是婚姻中的陌生人。","埃米尔•库斯图里卡<br/>Emir Kusturica<br/>--------------------------------------------------------------<br/>塞尔维亚电影导演、编剧、音乐家，曾两次斩获戛纳金棕榈奖，世界上最伟大的电影艺术家之一。库斯图里卡于1954年出生于萨拉热窝，1981年首次执导剧情片《你还记得多莉•贝尔吗？》赢得了该年度的威尼斯电影节最佳处女作奖金狮奖。第二部剧情片《爸爸出差时》（1985年）斩获戛纳电影节金棕榈奖。1995年凭借电影《地下》再次获得戛纳国际电影节金棕榈奖。库斯图里卡执导电影十余部，并在多部电影中担任编剧。《流浪者之歌》《亚历桑那之梦》《黑猫白猫》《生活是个奇迹》等影片多次在威尼斯国际电影节、柏林国际电影节等揽获奖项。<br/>---------------------------------------------------------------<br/>最新执导电影为《牛奶配送员的奇幻人生》，电影原著小说即收入《婚姻中的陌生人》的中篇小说《在蛇的怀抱里》。",2018-11-14
9787536480681,李淼,《三体》中的物理学,四川科学技术出版社,2015-04-01,220,B-222,2,../BookCover/9787536480681.jpg,《<三体>中的物理学》是一部奇特而富于妙趣的科普书。作者作为理论物理学家，从近年来在世界范围内产生广泛影响的科幻小说《三体》切入，生动展现了宇宙的生死、世界的实在性和不确定性，乃至人的自由意志；同时系统分析了智子、水滴、二向箔、思想钢印等《三体》中诸多超级神器在未来出现的可能性。<br/>如果你因为《三体》而读这本书，这是一个绝佳的选择，因为你会从中找到由《三体》引发的所有重大问题的权威答案；如果你还没有读过《三体》但对世界充满好奇，这本书同样是不错的选择，它会帮助你进入一个奇异的新世界。<br/>《<三体>中的物理学》以独立的批判姿态，验证了《三体》的神奇与伟大。,李淼，中国著名理论物理学家，同时也是诗人、科普作家。1982年毕业于北京大学天体物理专业，1984年在中国科技大学获理学硕士学位。1989年赴丹麦哥本哈根大学波尔研究所学习，1990年获哲学博士学位。1990年起，先后在美国SantaBarbara加州大学、布朗大学任研究助理、研究助理教授，1996年在芝加哥大学费米研究所任高级研究助理。1999年回国，任中国科学院理论物理研究所研究员、博士生导师。2013年加盟中山大学，现为中山大学天文与空间科学研究院院长。,2018-11-17
9787536692930,刘慈欣,三体,重庆出版社,2008-01-10,302,B-229,3,../BookCover/9787536692930.jpg,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的命运。地球文明向宇宙发出的第一声啼鸣，以太阳为中心，以光速向宇宙深处飞驰……<br/>四光年外，“三体文明”正苦苦挣扎——三颗无规则运行的太阳主导下的百余次毁灭与重生逼迫他们逃离母星。而恰在此时。他们接收到了地球发来的信息。在运用超技术锁死地球人的基础科学之后。三体人庞大的宇宙舰队开始向地球进发……<br/>人类的末日悄然来临。,刘慈欣，祖籍河南，长于山西，中国科普作家协会会员，山西省作家协会会员，高级工程师。<br/>自1999年处女作《鲸歌》问世以来，刘慈欣已发表短篇科幻小说三十余篇、出版长篇科幻小说六部，并创下连续八年荣获中国科幻最高奖“银河奖”的纪录。他的长篇作品《三体》开创《科幻世界》月刊连载原创作品的先例，成为2006年度最受关注、最畅销的科幻小说。,2018-11-17
9787536693968,刘慈欣,三体Ⅱ,重庆出版社,2008-05-01,470,B-222,3,../BookCover/9787536693968.jpg,三体人在利用魔法般的科技锁死了地球人的科学之后，庞大的宇宙舰队杀气腾腾地直扑太阳系，意欲清除地球文明。<br/>面对前所未有的危局，经历过无数磨难的地球人组建起同样庞大的太空舰队，同时，利用三体人思维透明的致命缺陷，制订了神秘莫测的“面壁计划”，精选出四位“面壁者”。秘密展开对三体人的反击。<br/>三体人自身虽然无法识破人类的诡谲计谋，却依靠由地球人中的背叛者挑选出的“破壁人”，与“面壁者”展开智慧博弈……<br/>“面壁计划”究竟能否成功？地球人究竟能否在这场你死我活的文明生存竞争中战而胜之？神秘的<br/>“黑暗森林”究竟意味着什么？,刘慈欣，祖籍河南，长于山西，中国科普作家协会会员，山西省作家协会会员，高级工程师。<br/>自1999年处女作《鲸歌》问世以来，刘慈欣已发表短篇科幻小说三十余篇、出版长篇科幻小说六部，并创下连续八年荣获中国科幻最高奖“银河奖”的纪录。他的长篇作品《三体》开创《科幻世界》月刊连载原创作品的先例，成为2006年度最受关注、最畅销的科幻小说。,2018-11-17
9787550029408,笛子Ocarina,今天也想表白你：小绿和小蓝2,百花洲文艺出版社,2018-08-01,280,B-22,3,../BookCover/9787550029408.jpg,《小绿和小蓝》是连载于腾讯动漫（ac.qq.com）破20亿阅读量的“火柴人”漫画作品。《小绿和小蓝·机器人篇》更是在全系列作品中人气爆棚。全书围绕火柴人——温和含蓄的“小绿”、单纯认真的“小蓝”以及天然呆的顶尖科技——“机器人小绿”的温馨日常展开，高甜预警，爆笑来袭！<br/><br/>看似杂七杂八的小故事却暖萌戳心又富含人生哲理，跌宕起伏的剧情让你永远猜不到故事的结局。笛子Ocarina哲学感颇强的脑洞创作，获得了粉丝的高度称赞与热烈追捧。千万网友读后竭诚推荐，纷纷表示：从未想过会被火柴人撩到！,笛子Ocarina<br/>漫画家，插图作者，游戏从业者<br/>毕业于皇家墨尔本理工大学（RMITUniversity）<br/>全年无休的工作狂<br/>代表作是“比二次元更二次元”的《小绿和小蓝》<br/>已出版系列畅销书：《今天也想表白你：小绿和小蓝》<br/>新浪微博：@笛子Ocarina,2018-11-14
9787550029644,"黄惠侦 ",迟来的告白：我和我妈妈,百花洲文艺出版社,2018-09-01,248,B20,7,../BookCover/9787550029644-18-11-02-08-04-03.jpg,*所有与爱有关的事都值得被讲述，愿我们都能拥有表达爱的能力<br/>*第67届柏林电影节泰迪熊奖最佳纪录片、第19届台北电影节台北电影奖最佳纪录片《日常对话》导演黄惠侦首部文字作品。<br/>*各界人士联合推荐：国际著名导演侯孝贤、知名小说家盛可以、陈雪、朱天心、知名编剧柏邦妮、知名设计师聂永真感动推荐！<br/>黄惠侦花了将近二十年将自己的人生故事拍成纪录片，短版的《我和我的T妈妈》放映时大受好评，长版《日常对话》获得第67届柏林国际电影节泰迪熊奖最佳纪录片、第19届台北电影节台北电影奖最佳纪录片。<br/>像她的纪录片一样，她的文字同样真诚、有力。在这本书里她用朴实的文字写下了毫不掩饰性向的母亲、缺席的父亲、母亲的女朋友们，还有那些累积了许多回忆的老物件。这些再次被翻搅出的记忆，都直直指向了那个在她心底埋藏许久、说不出口的秘密和以及“你是否爱我”的疑问。<br/>“影像跟文字，都成为安神的符咒。”黄惠侦用自己的方式为自己的人生做了最温柔的注解。,黄惠侦，导演、作家。<br/>曾拍摄《八东病房》《乌将要回家》等纪录短片。筹备至完成历时18年的纪录长片《日常对话》，2017年获得柏林影展泰迪熊奖，以及台北电影节最佳纪录片，影片在国内外影展皆获得广大的回响与肯定。,2018-11-14
9787559625984,"日]今敏 ",梦的化石,北京联合出版公司,2018-11-01,412,B-21,3,../BookCover/9787559625984.jpg,今敏（1963-2010）<br/><br/>动画导演、漫画家。1984年，在就读武藏野美术大学时完成漫画处女作《虏》，1985年完成《雕刻》，获千叶彻弥漫画新人奖。1990年开始连载首部长篇漫画《海归线》。同年作为美术设计参加大友克洋监督的动画电影《老人Z》，踏上动画创作之路。<br/><br/>1997年完成动画处女作《未麻的部屋》，受邀参加柏林影展，并在亚洲奇幻电影节上获奖。接着陆续完成动画《千年女优》《东京教父》《妄想代理人》《红辣椒》。《千年女优》入围奥斯卡动画长片奖，与《千与千寻》同获日本文化厅媒体艺术节动画奖，名列世界五十大动画。,本书是今敏漫画故事短篇全集，收录今敏从1984年至1989年间创作的漫画，除了与大友克洋合著的《国际恐怖公寓》，他所有的短篇都收录其中。<br/><br/>1984年，今敏发表首部漫画作品《虏》，直到1997年，首部动画电影《未麻的部屋》才横空出世。13年间，今敏埋头于漫画创作。作为动画导演，他享誉海内外，然而作为漫画家的道路却走得并不顺遂，仅有两部作品出版。那些十年如一日画出来的作品，在时间的长河中被掩埋，进而凝结成了化石。<br/><br/>2010年8月24日，今敏年仅46岁的人生因为病魔戛然而止，留给世人的只是远去的背影。《梦的化石》将那些不为人知的梦想碎片捡拾起来，令它们重新焕发出无与伦比的光芒。,2018-11-14
9787559626530,"刘同 ",别做那只迷途的候鸟,北京联合出版公司,2018-10-10,296,B-238,3,../BookCover/9787559626530.jpg,"★ 别人都在做自己喜欢的工作，为什么你不可以？<br/>那是因为也许你还没听过“职场3232”法则啊！<br/>----------------------------------------------------------------------------<br/>《我在未来等你》《谁 的青春不迷茫》新版之后，暌违数年，刘同重新书写职场，不仅写给每一只在时代浪潮中奋力打拼的职场候鸟，也是写给在职场拼搏十八年，依然在前行的自己。职场上有这样一种新族群，他们随着大潮读书，求职，进入大城市，在人生关键的十年里，不愿错过每次机遇，就像一群候鸟，努力跟上每次冷暖迁徙，一刻不停往前飞。然而不知不觉中，许多人已经迷了路，找不到方向，找不到方法，也找不到动力。慢慢地，不知道自己喜欢什么、能做什么、能做多好，不断奔波漂泊，到头来，成熟的只是外表，内心依然焦躁。<br/>----------------------------------------------------------------------------<br/>在本书中，刘同认为每个人的人生中都有一个“关键十年”，并根据自己的生涯轨迹，提出“3232”法则，将“关键十年”分为四个阶段，即人生规划期（3年）；适应调整期（2年）；职场炼狱期（3年）；自我突破期（2年）。并从四个阶段中选取50余个绕不过去的难题困惑，一一作答。“3232”法则关注的是对人生、事业与职场的思考，而非在一份具体工作上花费时间的多少。所以，只要愿意思考，并付出行动，开始得越早，你就会成长得越快。慢慢地，你会发现，会不会工作、能不能工作，其实与一个人的年龄、资历无关，一个37岁的人，工作能力不一定就比20岁的人强。每个人都必须要按顺序经历职场的这四个阶段，无法跨越，也不可能逃避。<br/>★别人能做自己喜欢的工作，你当然也可以！<br/>而这本书根据职场的四个阶段，每个阶段列出了最困扰职场候鸟们的问题，其中哪怕只有一个能让你有所感悟，那这本书也就有了它的意义。<br/>----------------------------------------------------------------------------<br/>【编辑推荐】<br/>1.“谁的青春不迷茫”系列之后，刘同回归职场全新作品，大型求职节目《职来职往》《你好！面试官》常驻嘉宾，光线影业副总裁，首次完整阐释十八年职场经验凝结出的“职场3232法则”，系统规划人生关键的黄金十年。特别收录“我的职场十年”“八封职场家书”，职业生涯经历、感悟、心得全记录。没有人一开始就是正确的，我们都需要用自己的经历不停去纠正人生。<br/>2.“3232”法则 4大阶段 50余个常见职场难题=人生的关键十年。从简历、面试、着装，到加薪、升职、跳槽，再到职场公平、职业道德、人际关系、未来规划……还在四处搜集各种节目、网络中的求职技巧和职场进阶手册？翻开本书，无论你是学生、实习、行业菜鸟，还是想要寻找未来新方向的职场老手，或者带新人团队的领导，都要清楚知道自己处于“3232”的哪个阶段，清楚每个阶段都会遇见的问题，希望这本书能给你更多角度去看待职场中的困惑，给你更多新的启发。<br/>3.对职场新人来说，一个好师傅胜过一份好工作。而职场上的领路人，要么太老，要么太遥远，跟大家一样迷茫过、孤独过、奋斗过的刘同，更像是大家并肩作战的战友。18岁离家，22岁北漂，中文系毕业后以*名的成绩考入湖南电视台，之后选择北漂生活进入光线传媒，成长为《*现场》《中国娱乐报道》《娱乐现场》《是真的吗》等金牌节目制作人，数十亿票房电影的幕后主创，销量千万册的畅销书作家。刘同有过跟你我一样的懵懂与犯错，磨炼与挫折，每一步也走得踏实、准确，一步步朝向自己喜欢做的事情。而从《职来职往》开始，刘同每天都会跟读者、网友互动，探讨着有关职场、有关工作乃至人生的方方面面，字里行间的细节里，处处可见职业人的专业与专注，前辈对新人的细腻和温情。<br/>4.走过“青茫”，走进职场，见证刘同百分百职场的另一面。散文和小说中的刘同，关注生活，注重感性；而这一本展示的，则是他在职场上、工作中笃定而毫不犹豫的理性面貌，不停思考，不断反思，直击痛点，“不一定直接给你答案，但一定能让你换个角度思考问题”。<br/>5. 也许有些人听着“大家”的意见考上了大学，选了专业，进了社会，投了简历，定了城市，租了房……看起来是越冬候鸟中的一群，但回到家归于独处时，也会疑惑：这是我自己想要的生活吗？你的生活应该是你的选择，而不是别人的指导。<br/>★每个人都是一只候鸟，愿你逆风飞行，不要失去方向。一个人工作中所有的问题，其实都是人生的成长问题。别让十年后的你，只是老了十岁而已。别让自己成熟的只是外表，内心依然焦躁。别人都在做自己喜欢的工作，你当然也可以！",刘同<br/>青年作家，光线影业副总裁<br/>1999年考入湖南师范大学中文系<br/>2001年进入湖南电视台总编室实习<br/>2003年进入湖南电视台娱乐频道工作<br/>2004年进入湖南经济电视台工作<br/>2005年至今任职于光线传媒，历任《中国娱乐报道》《娱乐现场》《最佳现场》《是真的吗》等电视节目制片人，现任光线影业副总裁<br/>大型求职节目《职来职往》《你好面试官》常驻嘉宾<br/>曾出版《谁的青春不迷茫》《你的孤独，虽败犹荣》《向着光亮那方》《我在未来等你》等作品<br/>“如果散文和小说写的是生活中的我，这本职场书就是工作中100%的我。”,2018-11-14
